epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,1358.64,0.89276,0.90957,1.19547,0.92704,0.88673,0.94336,0.7364,0.79064,0.63356,1.15511,0.00397019,0.00397019,0.00397019
59,1381.56,0.8935,0.90336,1.19516,0.90298,0.88463,0.93985,0.72903,0.78216,0.63461,1.15392,0.00381899,0.00381899,0.00381899
60,1404.58,0.88753,0.89025,1.1931,0.914,0.89305,0.94702,0.74597,0.77418,0.60226,1.15323,0.00366899,0.00366899,0.00366899
61,1427.41,0.88041,0.87803,1.18668,0.89914,0.90881,0.95024,0.74325,0.7738,0.5924,1.14727,0.00352037,0.00352037,0.00352037
62,1450.36,0.88369,0.88127,1.18855,0.9059,0.88569,0.93963,0.73735,0.77555,0.61223,1.14766,0.00337325,0.00337325,0.00337325
63,1473.35,0.87386,0.86888,1.18583,0.93013,0.89806,0.95027,0.74634,0.76795,0.5801,1.14334,0.00322778,0.00322778,0.00322778
64,1496.29,0.8601,0.85626,1.17317,0.91994,0.9054,0.95207,0.75736,0.74477,0.57405,1.12161,0.00308412,0.00308412,0.00308412
65,1519.35,0.85948,0.85022,1.1777,0.92437,0.90716,0.95536,0.76094,0.73548,0.56663,1.11784,0.00294239,0.00294239,0.00294239
66,1542.25,0.84854,0.82956,1.16629,0.9279,0.91101,0.95686,0.76242,0.73801,0.5617,1.11635,0.00280275,0.00280275,0.00280275
67,1565.13,0.85169,0.83472,1.17074,0.90611,0.90962,0.95177,0.75783,0.74743,0.56539,1.11904,0.00266532,0.00266532,0.00266532
68,1587.99,0.84694,0.81931,1.16529,0.93373,0.91058,0.95732,0.76818,0.71748,0.55272,1.11103,0.00253024,0.00253024,0.00253024
69,1610.76,0.84093,0.80878,1.16,0.92404,0.91169,0.95558,0.76384,0.72258,0.54574,1.10126,0.00239766,0.00239766,0.00239766
70,1633.67,0.83418,0.79662,1.15539,0.91835,0.90199,0.95599,0.77016,0.70695,0.53879,1.09461,0.00226769,0.00226769,0.00226769
71,1656.66,0.83645,0.79399,1.1593,0.92494,0.91349,0.95272,0.76616,0.70392,0.54,1.08676,0.00214046,0.00214046,0.00214046
72,1679.54,0.82308,0.7857,1.15331,0.93065,0.91931,0.96038,0.77808,0.70429,0.51799,1.08526,0.00201611,0.00201611,0.00201611
73,1702.32,0.82071,0.78111,1.15087,0.93245,0.91063,0.96486,0.779,0.70093,0.51997,1.08893,0.00189475,0.00189475,0.00189475
74,1725.15,0.81515,0.76781,1.14446,0.93762,0.92767,0.96472,0.77841,0.69943,0.5005,1.08114,0.00177651,0.00177651,0.00177651
75,1747.87,0.81322,0.76218,1.14272,0.93348,0.9266,0.96627,0.78141,0.69207,0.50479,1.07708,0.00166149,0.00166149,0.00166149
76,1770.59,0.80673,0.753,1.14091,0.94719,0.91377,0.96489,0.78489,0.69661,0.50202,1.08215,0.00154982,0.00154982,0.00154982
77,1793.47,0.79842,0.73861,1.13838,0.93176,0.93108,0.96596,0.78715,0.69356,0.49003,1.08251,0.00144161,0.00144161,0.00144161
78,1816.41,0.79245,0.73347,1.13457,0.94041,0.92244,0.96601,0.7881,0.68723,0.49094,1.07453,0.00133695,0.00133695,0.00133695
79,1839.35,0.78492,0.72297,1.12703,0.94743,0.92103,0.96797,0.79021,0.67961,0.47651,1.06605,0.00123596,0.00123596,0.00123596
80,1862.42,0.78748,0.71965,1.13117,0.94246,0.92329,0.96858,0.79287,0.67508,0.47197,1.06185,0.00113873,0.00113873,0.00113873
81,1885.51,0.78197,0.71322,1.12425,0.93189,0.93627,0.96544,0.79416,0.66905,0.47594,1.06029,0.00104537,0.00104537,0.00104537
82,1908.44,0.77721,0.71131,1.12102,0.92999,0.94401,0.96741,0.79848,0.66814,0.47039,1.05572,0.000955951,0.000955951,0.000955951
83,1931.33,0.77511,0.69283,1.11778,0.93591,0.93514,0.96639,0.795,0.66816,0.45859,1.05713,0.000870577,0.000870577,0.000870577
84,1954.16,0.76433,0.68676,1.11521,0.9554,0.92904,0.96932,0.80004,0.66949,0.45573,1.05664,0.000789327,0.000789327,0.000789327
85,1977.06,0.7618,0.68733,1.11625,0.94582,0.93545,0.96892,0.79933,0.6693,0.45185,1.05671,0.000712282,0.000712282,0.000712282
86,1999.94,0.75211,0.67955,1.11167,0.95041,0.92898,0.96892,0.80069,0.66718,0.45406,1.05397,0.000639518,0.000639518,0.000639518
87,2022.82,0.75381,0.67531,1.10816,0.94793,0.93196,0.96854,0.79808,0.66664,0.45729,1.0503,0.000571106,0.000571106,0.000571106
88,2045.66,0.7579,0.6761,1.10993,0.95141,0.9252,0.967,0.80195,0.65983,0.45437,1.04957,0.000507115,0.000507115,0.000507115
89,2068.56,0.75027,0.66652,1.10745,0.94298,0.93693,0.97029,0.80207,0.65908,0.44805,1.05046,0.000447606,0.000447606,0.000447606
90,2091.38,0.74496,0.66491,1.10554,0.95284,0.93792,0.97086,0.80378,0.65641,0.44599,1.04565,0.00039264,0.00039264,0.00039264
91,2123.84,0.72601,0.57236,1.09548,0.94309,0.93475,0.96935,0.80151,0.664,0.45278,1.05113,0.00034227,0.00034227,0.00034227
92,2146.49,0.71049,0.54612,1.08617,0.93625,0.94497,0.96922,0.80356,0.65792,0.44305,1.04898,0.000296546,0.000296546,0.000296546
93,2169.23,0.7086,0.53921,1.08461,0.95212,0.92359,0.96924,0.80599,0.65211,0.44133,1.04366,0.000255513,0.000255513,0.000255513
94,2192.01,0.70207,0.53827,1.0841,0.95426,0.92432,0.97105,0.81009,0.64866,0.43872,1.04226,0.000219212,0.000219212,0.000219212
95,2214.66,0.69509,0.52814,1.07734,0.93445,0.94001,0.97084,0.80831,0.64584,0.43789,1.03913,0.000187678,0.000187678,0.000187678
96,2237.27,0.69397,0.52414,1.07517,0.94305,0.94211,0.971,0.80889,0.64623,0.43679,1.03795,0.000160943,0.000160943,0.000160943
97,2259.87,0.6921,0.53326,1.07443,0.95079,0.93518,0.97259,0.80949,0.64505,0.43462,1.03621,0.000139032,0.000139032,0.000139032
98,2282.45,0.68361,0.52589,1.07127,0.94802,0.93556,0.97227,0.80868,0.64485,0.43386,1.03535,0.000121968,0.000121968,0.000121968
99,2305.17,0.69064,0.52583,1.07541,0.93527,0.94609,0.97222,0.80943,0.64491,0.43449,1.03603,0.000109768,0.000109768,0.000109768
100,2327.65,0.68418,0.521,1.06993,0.93488,0.94683,0.97312,0.81014,0.6441,0.43322,1.0364,0.000102443,0.000102443,0.000102443
